"","t","month","fighter","interest","region","country.etc","pop","lat","long","capital"
"129",26,2006-02-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"130",26,2006-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"131",27,2006-03-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"132",27,2006-03-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"133",27,2006-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"134",27,2006-03-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"135",27,2006-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"136",28,2006-04-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"137",28,2006-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"138",28,2006-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"139",28,2006-04-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"140",28,2006-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"141",29,2006-05-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"142",29,2006-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"143",29,2006-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"144",29,2006-05-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"145",29,2006-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"146",30,2006-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"147",30,2006-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"148",30,2006-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"149",30,2006-06-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"150",30,2006-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"151",31,2006-07-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"152",31,2006-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"153",31,2006-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"154",31,2006-07-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"155",31,2006-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"156",32,2006-08-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"157",32,2006-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"158",32,2006-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"159",32,2006-08-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"160",32,2006-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"161",33,2006-09-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"162",33,2006-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"163",33,2006-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"164",33,2006-09-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"165",33,2006-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"166",34,2006-10-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"167",34,2006-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"168",34,2006-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"169",34,2006-10-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"170",34,2006-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"171",35,2006-11-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"172",35,2006-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"173",35,2006-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"174",35,2006-11-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"175",35,2006-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"176",36,2006-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"177",36,2006-12-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"178",36,2006-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"179",36,2006-12-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
